Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
4,HA,AB847411,No,1701,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2-1/1968
4,HA,J02090,Yes,1738,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968
4,HA,M55059,Yes,1763,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968
4,HA,CY121117,Yes,1740,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968
4,HA,AB284320,Yes,1765,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,AB295605,Yes,1731,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,EF614251,Yes,1698,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,EF614249,Yes,1698,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,EF614250,Yes,1698,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,EF614248,Yes,1704,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/1968(H3N2)
4,HA,V01085,Yes,1765,H3N2,1968,IRD:Human,Japan,-N/A-,-N/A-,A/Aichi/2/68
4,HA,CY021845,Yes,1726,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/10/1968(H3N2)
4,HA,CY019891,Yes,1724,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/11/1968(H3N2)
4,HA,CY021109,Yes,1724,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/17/1968(H3N2)
4,HA,CY020525,No,1717,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/18/1968(H3N2)
4,HA,CY019907,Yes,1724,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/19/1968(H3N2)
4,HA,CY022085,Yes,1724,H3N2,1968,IRD:Human,USA,New York,-N/A-,A/Albany/6/1968(H3N2)
4,HA,CY008156,Yes,1743,H3N2,1968,IRD:Human,China,-N/A-,-N/A-,A/Beijing/1/1968
4,HA,CY112233,Yes,1721,H3N2,1968,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/15793/1968
4,HA,KC296480,Yes,1765,H3N2,1968,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/16190/1968
4,HA,CY112241,Yes,1734,H3N2,1968,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/16398/1968
4,HA,CY033505,Yes,1714,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12/1968
4,HA,CY034942,Yes,1716,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12A/1968
4,HA,CY034950,Yes,1714,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12B/1968
4,HA,CY034958,Yes,1719,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12C/1968
4,HA,CY033988,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12D/1968
4,HA,CY034966,Yes,1721,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-12E/1968
4,HA,CY044269,No,1716,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20/1968
4,HA,CY032977,No,1722,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20A/1968
4,HA,CY032985,No,1725,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20B/1968
4,HA,CY045716,Yes,1721,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20C/1968
4,HA,CY034974,Yes,1713,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20D/1968
4,HA,CY032993,No,1716,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA-20E/1968
4,HA,CY033073,No,1714,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA21-1/1968
4,HA,CY033081,Yes,1717,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA21-2/1968
4,HA,CY033089,Yes,1722,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-1-MA21-3/1968
4,HA,CY033001,No,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-1/1968
4,HA,HM641175,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-10-MA21-1/1968(H3N2)
4,HA,CY034982,Yes,1722,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-10-MA21-2/1968(H3N2)
4,HA,HM641176,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-10-MA21-2/1968(H3N2)
4,HA,CY044293,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-10-MA21-3/1968(H3N2)
4,HA,HM641177,Yes,1725,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-10-MA21-3/1968(H3N2)
4,HA,CY033057,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-10/1968(H3N2)
4,HA,CY033537,Yes,1715,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-11-MA21-1/1968
4,HA,CY033545,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-11-MA21-2/1968
4,HA,CY033553,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-11-MA21-3/1968
4,HA,CY034004,Yes,1712,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-11/1968
4,HA,CY033561,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-12-MA21-1/1968
4,HA,CY033569,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-12-MA21-2/1968
4,HA,CY034036,Yes,1716,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-12-MA21-3/1968
4,HA,CY033065,No,1714,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-12/1968
4,HA,CY033097,Yes,1722,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-2-MA21-1/1968
4,HA,CY033105,Yes,1716,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-2-MA21-2/1968
4,HA,HM641174,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-2-MA21-2/1968(H3N2)
4,HA,HM641173,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-2-MA21-3/1968(H3N2)
4,HA,CY033009,No,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-2/1968
4,HA,HM641172,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-4-MA21-1/1968(H3N2)
4,HA,CY033113,Yes,1713,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-4-MA21-2/1968
4,HA,CY033121,Yes,1713,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-4-MA21-3/1968
4,HA,CY033017,No,1720,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-4/1968
4,HA,HM641171,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-5-MA21-1/1968(H3N2)
4,HA,CY033129,Yes,1707,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-5-MA21-2/1968
4,HA,CY044277,Yes,1705,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-5-MA21-3/1968
4,HA,HM641170,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-5-MA21-3/1968(H3N2)
4,HA,CY033025,Yes,1720,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-5/1968
4,HA,CY044285,Yes,1707,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-6-MA21-1/1968
4,HA,HM641169,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-6-MA21-1/1968(H3N2)
4,HA,CY034012,Yes,1715,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-6-MA21-2/1968
4,HA,HM641168,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-6-MA21-2/1968(H3N2)
4,HA,CY033033,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-6/1968
4,HA,CY033041,No,1720,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-7/1968(H3N2)
4,HA,CY034020,Yes,1724,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-8-MA21-1/1968
4,HA,CY033137,Yes,1719,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1-8-MA21-2/1968
4,HA,CY034028,Yes,1717,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-8-MA21-3/1968
4,HA,CY033996,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-8/1968
4,HA,CY033513,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-9-MA21-1/1968
4,HA,CY033521,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-9-MA21-2/1968
4,HA,CY033529,Yes,1726,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-9-MA21-3/1968
4,HA,CY033049,Yes,1719,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1-9/1968
4,HA,CY044261,Yes,1717,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1/1968
4,HA,CY112249,Yes,1735,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1/1968
4,HA,AF348178,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1/68(H3N2)
4,HA,AF348179,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1/68(H3N2)
4,HA,AF348177,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/1/68(H3N2)
4,HA,AF348176,Yes,1736,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/1/68(H3N2)
4,HA,EF409245,No,1750,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/68(H3N2)
4,HA,CY147438,Yes,1735,H3N2,1968,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/JY2/1968(H3N2)
4,HA,HM641178,Yes,1736,H3N2,1968,IRD:Human,LAB,-N/A-,-N/A-,A/Hong Kong/MA/1968(H3N2)
4,HA,CY006211,No,1722,H3N2,1968,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/1/1968
4,HA,CY147446,Yes,1735,H3N2,1968,IRD:Human,Australia,-N/A-,-N/A-,A/Northern Territories/60-JY2/1968(H3N2)
4,HA,CY011120,No,1729,H3N2,1968,IRD:Human,Australia,-N/A-,-N/A-,A/Northern Territory/60/1968
4,"HA,HA",V01103,No,1765,H3N2,1968,IRD:Human,Australia,-N/A-,-N/A-,A/NT/60/68/29c
4,HA,CY146809,Yes,1743,H3N2,1968,IRD:Human,Australia,-N/A-,-N/A-,A/Victoria/JY2/1968(H3N2)
4,HA,CY019899,Yes,1724,H3N2,1969,IRD:Human,USA,New York,-N/A-,A/Albany/1/1969(H3N2)
4,HA,CY019915,Yes,1714,H3N2,1969,IRD:Human,USA,New York,-N/A-,A/Albany/3/1969(H3N2)
4,HA,CY021837,Yes,1743,H3N2,1969,IRD:Human,USA,New York,-N/A-,A/Albany/4/1969(H3N2)
4,HA,CY113053,Yes,1734,H3N2,1969,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/17938/1969
4,HA,CY112257,Yes,1728,H3N2,1969,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/808/1969
4,HA,CY113045,Yes,1735,H3N2,1969,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/908/1969
4,HA,CY006299,Yes,1742,H3N2,1969,IRD:Human,Hong Kong,-N/A-,-N/A-,A/Hong Kong/3/1969
4,HA,CY022938,Yes,1731,H3N2,1970,IRD:Human,USA,New York,-N/A-,A/Albany/1/1970(H3N2)
4,HA,CY021085,No,1730,H3N2,1970,IRD:Human,USA,New York,-N/A-,A/Albany/2/1970(H3N2)
4,HA,CY022946,Yes,1722,H3N2,1970,IRD:Human,USA,New York,-N/A-,A/Albany/3/1970(H3N2)
4,HA,CY021117,Yes,1724,H3N2,1970,IRD:Human,USA,New York,-N/A-,A/Albany/6/1970(H3N2)
4,HA,CY112273,Yes,1735,H3N2,1970,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/2668/1970
4,HA,CY112265,Yes,1735,H3N2,1970,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/93/1970
4,HA,CY113061,Yes,1737,H3N2,1971,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/21438/1971
4,HA,CY113069,Yes,1737,H3N2,1971,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/21801/1971
4,HA,CY112281,Yes,1734,H3N2,1971,IRD:Human,Netherlands,-N/A-,-N/A-,A/Bilthoven/6449/1971
